identifiant_a,libelle_du_site,caracteristique_du_site,site_acores_de_rattachement,adresse,complement_d_adresse,lieu_dit,code_postal,localite,code_insee,pays,latitude,longitude,numero_de_telephone
08916A,AVRILLE,Bureau de Poste,,137 AVENUE PIERRE MENDES FRANCE,,,49240,AVRILLE,49015,FRANCE,47.502696,-0.585674,3631
09949A,BAR LE DUC ROCHELLE,Bureau de Poste,,32 BOULEVARD DE LA ROCHELLE,,,55000,BAR LE DUC,55029,FRANCE,48.772585,5.162085,3631
13348A,VESOUL ILE VERTE,Bureau de Poste,,13 RUE DU COMMANDANT GIRARDOT,,,70000,VESOUL,70550,FRANCE,47.618187,6.154333,3631
16813A,SAINT FLORENTIN,Bureau de Poste,,39 AVENUE DU GENERAL LECLERC,,,89600,ST FLORENTIN,89345,FRANCE,47.999593,3.726856,3631
01626A,LIMOUX,Bureau de Poste,,5 PLACE DU GENERAL LECLERC,,,11300,LIMOUX,11206,FRANCE,43.05341,2.215801,3631
08768A,NERAC,Bureau de Poste,,PLACE DU GENERAL LECLERC,,,47600,NERAC,47195,FRANCE,44.13543,0.337028,3631
01878A,RODEZ R P,Bureau de Poste,,PLACE DU MARECHAL FOCH,,,12000,RODEZ,12202,FRANCE,44.349711,2.573494,3631
04631A,TAIN L HERMITAGE,Bureau de Poste,,PLACE DU 8 MAI 1945,IMPASSE DES ROSIERS,,26600,TAIN L HERMITAGE,26347,FRANCE,45.069495,4.846512,3631
13363A,AUTUN,Bureau de Poste,,21 RUE J ET B DE LATTRE DE TASSIGNY,,,71400,AUTUN,71014,FRANCE,46.949885,4.29966,3631
16379A,BELLAC - MONTS D'AMBAZAC,Bureau de Poste,,1 RUE LOUIS JOUVET,,,87300,BELLAC,87011,FRANCE,46.12193,1.048082,3631
02891A,SAINT JEAN D ANGELY,Bureau de Poste,,1 RUE DE LA PORTE DE NIORT,,,17400,ST JEAN D ANGELY,17347,FRANCE,45.945355,-0.519626,3631
14950A,FOURQUEUX AP,Agence postale intercommunale,,2 PLACE VICTOR HUGO,,,78112,ST GERMAIN EN LAYE,78551,FRANCE,48.886792866187,2.0620855191919,3631
