identifiant_a,libelle_du_site,caracteristique_du_site,site_acores_de_rattachement,adresse,complement_d_adresse,lieu_dit,code_postal,localite,code_insee,pays,latitude,longitude,numero_de_telephone
00001A,AMBERIEU EN BUGEY,Bureau de Poste,,38 RUE ALEXANDRE BERARD,,,01500,AMBERIEU EN BUGEY,01004,FRANCE,45.9598,5.3582,3631
00002A,AMBERIEU EN DOMBES BP,Bureau de Poste,,240 RUE GOMBETTE,,,01330,AMBERIEUX EN DOMBES,01005,FRANCE,45.99639,4.903345,3631
00004A,ANGLEFORT RP,Relais poste,00017A,RUE DE LA MAIRIE,THE LIXIR,,01350,ANGLEFORT,01010,FRANCE,45.9116,5.8083,3631
00008A,ARS SUR FORMANS BP,Bureau de Poste,,RUE JEAN MARIE VIANNEY,,,01480,ARS SUR FORMANS,01021,FRANCE,45.992899,4.821718,3631
00011A,BAGE LE CHATEL BP,Bureau de Poste,,RUE CONDAMNALE,,,01380,BAGE LE CHATEL,01026,FRANCE,46.307694,4.929602,3631
00012A,BEAUPONT RP,Relais poste,00030A,356 RUE PRINCIPALE,,,01270,BEAUPONT,01029,FRANCE,46.410523,5.264468,3631
00013A,BEAUREGARD AP,Agence postale communale,00174A,99 RUE HECTOR BERLIOZ,MAIRIE,,01480,BEAUREGARD,01030,FRANCE,46.002974656,4.7512038479,3631
00015A,BELIGNEUX CAMP DE LA VALBONNE BP,Bureau de Poste,,23 RUE DE LA POSTE,CAMP MILITAIRE LA VALBONNE,,01360,BELIGNEUX,01032,FRANCE,45.848872,5.125244,3631
00016A,BELLEGARDE SUR VALSERINE PAL,Bureau de Poste,,52 B RUE DE LA REPUBLIQUE,,,01200,BELLEGARDE SUR VALSERINE,01033,FRANCE,46.107098,5.824684,3631
00017A,BELLEY,Bureau de Poste,,1 BOULEVARD DU MAIL,,,01300,BELLEY,01034,FRANCE,45.761179,5.687556,3631
00018A,BEREYZIAT RP,Relais poste,00046A,LE BOURG,,,01340,BEREZIAT,01040,FRANCE,46.366486,5.045942,3631
00021A,BILLIAT RP,Relais poste,00016A,9 RUE DE LA MAIRIE,,,01200,BILLIAT,01044,FRANCE,46.077173,5.784174,3631
00022A,BIZIAT AP,Agence postale communale,00046A,40 ROUTE DE RETISSINGE,,,01290,BIZIAT,01046,FRANCE,46.216879,4.943519,3631
00023A,LA BOISSE AP,Agence postale communale,00103A,31 PLACE MARCEL VIENOT,,,01120,LA BOISSE,01049,FRANCE,45.841808,5.032843,3631
00024A,BOLOZON AP,Agence postale communale,00030A,175 RUE DE LA GARE,,,01450,BOLOZON,01051,FRANCE,46.19212,5.473216,3631
00025A,BOURG EN BRESSE PREFECTURE,Bureau de Poste,,1 AVENUE ALPHONSE MUSCAT,,,01000,BOURG EN BRESSE,01053,FRANCE,46.202794,5.220568,3631
00026A,BREGNIER CORDON BP,Bureau de Poste,,LA BRUYERE,,,01300,BREGNIER CORDON,01058,FRANCE,45.641265,5.627338,3631
00027A,BRENOD RP,Relais poste,00017A,RUE PRINCIPALE,TABAC GUDIN MIREILLE,,01110,BRENOD,01060,FRANCE,46.061818,5.606876,3631
00029A,CERDON RP,Relais poste,00030A,98 PLACE DE LA VIGNERONNE,LE PANIER SYMPA,,01450,CERDON,01068,FRANCE,46.07968,5.463674,3631
00030A,CEYZERIAT,Bureau de Poste,,RUE JEROME LALANDE,,,01250,CEYZERIAT,01072,FRANCE,46.179193,5.325461,3631
00031A,CEYZERIEU AP,Agence postale communale,00017A,1 PLACE DE LA MAIRIE,,,01350,CEYZERIEU,01073,FRANCE,45.835258,5.726434,3631
00032A,CHALAMONT BP,Bureau de Poste,,PLACE DU MARCHE,,,01320,CHALAMONT,01074,FRANCE,45.997007,5.171485,3631
00035A,CHALLEX RP,Relais poste,00073A,45 RUE DE LA TREILLE,,,01630,CHALLEX,01078,FRANCE,46.180381,5.9688,3631
00036A,CHAMPAGNE EN VALROMEY AP,Agence postale communale,00017A,PLACE BRILLAT SAVARIN,,,01260,CHAMPAGNE EN VALROMEY,01079,FRANCE,45.904699,5.679104,3631
